time_s,target_dof_right_hip_pitch_04,target_dof_right_hip_roll_03,target_dof_right_hip_yaw_03,target_dof_right_knee_04,target_dof_right_ankle_02,target_dof_left_hip_pitch_04,target_dof_left_hip_roll_03,target_dof_left_hip_yaw_03,target_dof_left_knee_04,target_dof_left_ankle_02,pos_dof_right_hip_pitch_04,pos_dof_right_hip_roll_03,pos_dof_right_hip_yaw_03,pos_dof_right_knee_04,pos_dof_right_ankle_02,pos_dof_left_hip_pitch_04,pos_dof_left_hip_roll_03,pos_dof_left_hip_yaw_03,pos_dof_left_knee_04,pos_dof_left_ankle_02,vel_dof_right_hip_pitch_04,vel_dof_right_hip_roll_03,vel_dof_right_hip_yaw_03,vel_dof_right_knee_04,vel_dof_right_ankle_02,vel_dof_left_hip_pitch_04,vel_dof_left_hip_roll_03,vel_dof_left_hip_yaw_03,vel_dof_left_knee_04,vel_dof_left_ankle_02,policy_target_dof_right_hip_pitch_04,policy_target_dof_right_hip_roll_03,policy_target_dof_right_hip_yaw_03,policy_target_dof_right_knee_04,policy_target_dof_right_ankle_02,policy_target_dof_left_hip_pitch_04,policy_target_dof_left_hip_roll_03,policy_target_dof_left_hip_yaw_03,policy_target_dof_left_knee_04,policy_target_dof_left_ankle_02,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pg_x,pg_y,pg_z
0.0,-0.2742033898830414,-0.0803980901837349,0.05913452059030533,-0.9272303581237793,0.45807093381881714,0.2645473778247833,-0.04178799316287041,-0.0356459841132164,0.9383233785629272,-0.5675545930862427,-0.2742033898830414,-0.0803980901837349,0.05913452059030533,-0.9272303581237793,0.45807093381881714,0.2645473778247833,-0.04178799316287041,-0.0356459841132164,0.9383233785629272,-0.5675545930862427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3548787236213684,-0.04414699599146843,0.0773167535662651,-0.9380785226821899,0.3678443133831024,-0.000253528356552124,0.13851991295814514,-0.04673067480325699,0.6521519422531128,0.24661773443222046,-1.795670884663543e-15,-1.5047172378036182e-16,-2.146240933812712e-16,0.0,0.0,-0.0,9.8100004196167,-2.2824278858024627e-05,2.6844125500247173e-07
0.02,-0.27684056758880615,-0.07168048620223999,0.05707079544663429,-0.9252131581306458,0.43289273977279663,0.2529674470424652,-0.0283388439565897,-0.027309874072670937,0.8838670253753662,-0.30670174956321716,-0.27684056758880615,-0.07168048620223999,0.05707079544663429,-0.9252131581306458,0.43289273977279663,0.2529674470424652,-0.0283388439565897,-0.027309874072670937,0.8838670253753662,-0.30670174956321716,-0.17792686820030212,0.48304077982902527,0.15795555710792542,-0.22705680131912231,-2.948317050933838,-1.226616621017456,0.9636414051055908,0.228559210896492,-4.401182174682617,24.483062744140625,-0.24405035376548767,-0.31876087188720703,0.09438086301088333,-1.0141277313232422,0.38885173201560974,0.12088188529014587,0.07495684921741486,-0.08597655594348907,0.7921249866485596,-0.06133466958999634,0.45875084400177,0.14741989970207214,0.02402457222342491,0.4893880784511566,0.24084168672561646,-0.19837071001529694,9.8099365234375,0.005446461029350758,0.034981440752744675
0.04,-0.28012338280677795,-0.08319810777902603,0.05743887647986412,-0.9392214417457581,0.40291234850883484,0.22996889054775238,-0.027332795783877373,-0.02591574192047119,0.8548526167869568,-0.2360764890909195,-0.28012338280677795,-0.08319810777902603,0.05743887647986412,-0.9392214417457581,0.40291234850883484,0.22996889054775238,-0.027332795783877373,-0.02591574192047119,0.8548526167869568,-0.2360764890909195,-0.04092201963067055,-1.264958381652832,0.050602272152900696,-1.06144118309021,-0.5437679886817932,-0.9459654688835144,-0.39433977007865906,0.1137981116771698,-0.2300662398338318,-4.165825366973877,-0.37698841094970703,-0.07292909920215607,0.06248950958251953,-1.2701478004455566,0.4897506833076477,-0.03974345326423645,0.19357499480247498,-0.03598162531852722,0.5651906728744507,0.013620734214782715,-4.5847344398498535,-0.1221650093793869,0.15087604522705078,0.23441311717033386,-0.3452860116958618,-0.19158940017223358,9.809876441955566,0.04608030244708061,0.01735876314342022
0.06,-0.28626540303230286,-0.09310775995254517,0.06715738773345947,-0.9990716576576233,0.43680691719055176,0.20107853412628174,-0.022593151777982712,-0.010571329854428768,0.8318308591842651,-0.3282890021800995,-0.28626540303230286,-0.09310775995254517,0.06715738773345947,-0.9990716576576233,0.43680691719055176,0.20107853412628174,-0.022593151777982712,-0.010571329854428768,0.8318308591842651,-0.3282890021800995,-0.6339148283004761,0.1581472009420395,0.4088701009750366,-4.538656711578369,2.6022846698760986,-1.9349968433380127,0.6866857409477234,1.0776629447937012,-2.1438536643981934,-5.371413707733154,-0.39790624380111694,0.018832731992006302,-0.009148620069026947,-1.302980661392212,0.6316812038421631,-0.14385876059532166,0.196832075715065,-0.1053350642323494,0.5929421186447144,0.26222676038742065,-6.720612049102783,-2.3723649978637695,-0.22809968888759613,0.5510001182556152,0.24058891832828522,-0.12878409028053284,9.809654235839844,0.08218474686145782,0.004996891599148512
0.08,-0.2980686128139496,-0.0829959511756897,0.05727780982851982,-1.087131381034851,0.5236191749572754,0.16153956949710846,-0.007023594807833433,-0.012429286725819111,0.7810247540473938,-0.44496655464172363,-0.2980686128139496,-0.0829959511756897,0.05727780982851982,-1.087131381034851,0.5236191749572754,0.16153956949710846,-0.007023594807833433,-0.012429286725819111,0.7810247540473938,-0.44496655464172363,-0.5382676124572754,0.7795543670654297,-1.328681468963623,-4.104794502258301,5.072262287139893,-1.9392098188400269,0.865534245967865,-1.1856653690338135,-2.6984708309173584,-6.1670756340026855,-0.5152939558029175,0.01936515048146248,-0.080879345536232,-1.395500898361206,0.8455164432525635,-0.11115655303001404,0.27576780319213867,-0.07835768163204193,0.5559036731719971,0.08649706840515137,-4.7082109451293945,-0.767474889755249,0.1791958212852478,0.31299594044685364,0.6954814195632935,0.05019489675760269,9.809165000915527,0.08375190198421478,0.0968163013458252
0.1,-0.3154498338699341,-0.06656503677368164,0.013549517840147018,-1.1711437702178955,0.6725509762763977,0.12891413271427155,0.015566442161798477,-0.03337939828634262,0.7262939214706421,-0.5741851925849915,-0.3154498338699341,-0.06656503677368164,0.013549517840147018,-1.1711437702178955,0.6725509762763977,0.12891413271427155,0.015566442161798477,-0.03337939828634262,0.7262939214706421,-0.5741851925849915,-1.10784912109375,0.8101284503936768,-2.8196067810058594,-4.2338762283325195,8.30454158782959,-1.4360986948013306,1.3484238386154175,-0.7067729234695435,-2.813948154449463,-6.709959506988525,-0.5004531741142273,0.005135197192430496,-0.03329327702522278,-1.428984522819519,0.845111072063446,-0.1857682466506958,0.3038857579231262,-0.11279202252626419,0.5111254453659058,0.12305176258087158,-4.009233474731445,-0.40255385637283325,-0.34565356373786926,0.24666441977024078,0.9492919445037842,0.41605648398399353,9.806450843811035,0.03662355616688728,0.2612879276275635
0.12,-0.32056188583374023,-0.06217319518327713,-0.017005261033773422,-1.2446902990341187,0.7772300243377686,0.11674085259437561,0.02330620586872101,-0.02240750379860401,0.7369443774223328,-0.6132057309150696,-0.32056188583374023,-0.06217319518327713,-0.017005261033773422,-1.2446902990341187,0.7772300243377686,0.11674085259437561,0.02330620586872101,-0.02240750379860401,0.7369443774223328,-0.6132057309150696,-0.086652971804142,0.5876795649528503,-0.45059433579444885,-3.552198886871338,3.1833784580230713,-1.3326683044433594,0.330666184425354,1.3973541259765625,0.06711683422327042,-0.28322693705558777,-0.5012176036834717,0.036505598574876785,-0.1309252679347992,-1.3434572219848633,1.0626544952392578,-0.19875627756118774,0.318968266248703,-0.033823881298303604,0.6186585426330566,0.09482944011688232,-15.73592472076416,-3.761220932006836,-3.972365617752075,1.313698649406433,-0.16695113480091095,-0.7184728980064392,9.80533218383789,0.07748495042324066,0.29250001907348633
0.14,-0.32747983932495117,-0.0465548001229763,-0.042182501405477524,-1.2926243543624878,0.8993856906890869,0.08772571384906769,0.034974075853824615,0.007939261384308338,0.7290345430374146,-0.6198628544807434,-0.32747983932495117,-0.0465548001229763,-0.042182501405477524,-1.2926243543624878,0.8993856906890869,0.08772571384906769,0.034974075853824615,0.007939261384308338,0.7290345430374146,-0.6198628544807434,-0.46938851475715637,0.868245005607605,-2.200075626373291,-1.3380825519561768,7.571783065795898,-1.4014798402786255,0.7913573980331421,1.5331590175628662,-0.4189349412918091,-0.40956762433052063,-0.5293945670127869,0.011930543929338455,-0.07481487095355988,-1.1097259521484375,0.9398292303085327,-0.15202152729034424,0.27028119564056396,-0.10108109563589096,0.5860841870307922,0.1359260082244873,-10.06350326538086,-1.7713141441345215,-1.0555307865142822,1.5501703023910522,0.15150320529937744,-0.4933422803878784,9.803803443908691,0.20178081095218658,0.28428348898887634
0.16,-0.33878293633461,-0.031031036749482155,-0.07995742559432983,-1.2763103246688843,0.950035572052002,0.06237131357192993,0.0487150177359581,0.028859397396445274,0.7189285159111023,-0.6262233853340149,-0.33878293633461,-0.031031036749482155,-0.07995742559432983,-1.2763103246688843,0.950035572052002,0.06237131357192993,0.0487150177359581,0.028859397396445274,0.7189285159111023,-0.6262233853340149,-0.6629526019096375,0.659079372882843,-1.2279176712036133,2.5452523231506348,-0.3790012001991272,-1.103253960609436,0.5544955134391785,0.7633576393127441,-0.5492574572563171,-0.1744411736726761,-0.2896818518638611,-0.09437631070613861,0.08506208658218384,-0.981778621673584,0.8039690256118774,-0.024087488651275635,0.08262930810451508,-0.09471549093723297,0.7066980004310608,-0.047902911901474,-10.754104614257812,-2.144927740097046,-2.6206400394439697,1.3891187906265259,0.11839302629232407,-0.21035805344581604,9.801012992858887,0.2828311324119568,0.3102402985095978
0.18,-0.3451024293899536,-0.026498157531023026,-0.06912299990653992,-1.204463243484497,0.8914074301719666,0.043934423476457596,0.04918360337615013,0.007737498264759779,0.7137514352798462,-0.6276558041572571,-0.3451024293899536,-0.026498157531023026,-0.06912299990653992,-1.204463243484497,0.8914074301719666,0.043934423476457596,0.04918360337615013,0.007737498264759779,0.7137514352798462,-0.6276558041572571,0.059014588594436646,-0.11723710596561432,2.357320547103882,4.223728179931641,-4.109326362609863,-0.7120720744132996,-0.4035479724407196,-2.350597381591797,0.1915075033903122,-0.07004934549331665,-0.34254664182662964,-0.06319661438465118,0.0786743238568306,-0.953465461730957,0.6845388412475586,0.003491908311843872,0.10203765332698822,-0.12044456601142883,0.6994032263755798,-0.040309756994247437,-4.29702615737915,-0.2549879848957062,-1.1448966264724731,0.8923757672309875,-0.35037270188331604,-0.2871919572353363,9.80022144317627,0.3338882327079773,0.28332647681236267
