time_s,target_dof_right_hip_pitch_04,target_dof_right_hip_roll_03,target_dof_right_hip_yaw_03,target_dof_right_knee_04,target_dof_right_ankle_02,target_dof_left_hip_pitch_04,target_dof_left_hip_roll_03,target_dof_left_hip_yaw_03,target_dof_left_knee_04,target_dof_left_ankle_02,torque_dof_right_hip_pitch_04,torque_dof_right_hip_roll_03,torque_dof_right_hip_yaw_03,torque_dof_right_knee_04,torque_dof_right_ankle_02,torque_dof_left_hip_pitch_04,torque_dof_left_hip_roll_03,torque_dof_left_hip_yaw_03,torque_dof_left_knee_04,torque_dof_left_ankle_02,pos_dof_right_hip_pitch_04,pos_dof_right_hip_roll_03,pos_dof_right_hip_yaw_03,pos_dof_right_knee_04,pos_dof_right_ankle_02,pos_dof_left_hip_pitch_04,pos_dof_left_hip_roll_03,pos_dof_left_hip_yaw_03,pos_dof_left_knee_04,pos_dof_left_ankle_02,vel_dof_right_hip_pitch_04,vel_dof_right_hip_roll_03,vel_dof_right_hip_yaw_03,vel_dof_right_knee_04,vel_dof_right_ankle_02,vel_dof_left_hip_pitch_04,vel_dof_left_hip_roll_03,vel_dof_left_hip_yaw_03,vel_dof_left_knee_04,vel_dof_left_ankle_02
8.36,-0.297038,-0.16046,0.125115,-0.648823,0.544783,0.157267,-0.143284,0.071273,0.70109,-0.330665,-12.4476,-11.8782,2.0215,30.1655,2.2876,-5.6336,-5.7234,0.9294,-3.2027,4.2562,-0.28926,-0.154254,0.113464,-0.88767,0.503749,0.267554,-0.099013,0.064134,0.795582,-0.387054,0.45631,0.403116,-0.250497,0.654215,-0.652728,-0.441282,-0.118647,-0.063029,-1.267757,-2.020836
8.38,-0.276271,-0.145924,0.119249,-0.611265,0.565692,0.119659,-0.100194,0.086826,0.697398,-0.353969,-5.3905,-7.6051,1.7528,33.7775,3.7009,-9.0104,2.6978,3.0211,1.2087,3.0535,-0.282589,-0.147526,0.108756,-0.874724,0.490345,0.257791,-0.102115,0.062362,0.766438,-0.391963,0.256373,0.300358,-0.205764,0.663436,-0.693984,-0.473642,-0.087684,-0.16807,-1.336343,-1.549305
8.4,-0.273583,-0.142418,0.107048,-0.585762,0.414353,0.084618,-0.095734,0.074218,0.669627,-0.410099,-14.5298,-2.4572,-0.112,30.2704,-1.3848,-14.5648,-2.0128,0.9465,-7.1268,-1.4121,-0.272622,-0.143228,0.106322,-0.854841,0.473049,0.249341,-0.100121,0.061762,0.750874,-0.384807,0.581897,0.099262,0.053966,1.166095,-0.972789,-0.410311,0.109533,0.08749,-0.584723,0.404529
8.42,-0.374191,-0.157675,-0.020995,-0.587153,0.402001,0.053845,-0.096135,0.065764,0.630245,-0.45891,-30.5836,-6.9269,-13.8017,23.4874,-0.7612,-14.8647,-2.3351,-0.4793,-7.0999,-4.1757,-0.260448,-0.140788,0.109359,-0.827344,0.450443,0.238581,-0.097774,0.064891,0.733344,-0.372367,0.546968,0.13452,0.224132,1.44918,-1.188378,-0.519609,0.100919,0.165696,-0.966606,0.721201
8.44,-0.403584,-0.179619,-0.046766,-0.562071,0.400113,0.033123,0.003701,0.054567,0.576805,-0.517538,-24.6416,3.4605,-9.7891,19.7193,2.5111,-20.8412,19.788,-1.5383,-11.433,-7.2729,-0.256085,-0.145809,0.093383,-0.796962,0.418674,0.230655,-0.097215,0.067129,0.71216,-0.355958,0.101801,-0.387404,-1.235979,1.792751,-3.286363,-0.355501,0.014976,0.082495,-1.024972,0.817823
8.46,-0.426689,-0.199719,-0.055838,-0.502698,0.403365,0.018531,-0.007459,0.040081,0.512025,-0.579079,-24.9875,1.8938,-4.9457,23.8245,4.3354,-19.884,6.1307,-6.1353,-18.4451,-10.1251,-0.255589,-0.153535,0.057396,-0.759851,0.37415,0.222419,-0.090565,0.078319,0.691382,-0.341233,-0.027405,-0.42182,-1.865364,1.704239,-3.198795,-0.43278,0.39756,0.676084,-0.977411,0.617427
8.48,-0.441232,-0.210822,-0.06037,-0.42384,0.416135,0.017803,-0.124832,0.017722,0.43431,-0.736196,-23.6124,1.1952,-2.2618,27.4309,6.3298,-15.4376,-11.0822,-8.7664,-25.252,-16.2684,-0.257281,-0.163333,0.018812,-0.716662,0.329047,0.211802,-0.086674,0.088972,0.668319,-0.332643,-0.160999,-0.405237,-1.654401,1.905755,-2.874983,-0.55263,0.130769,0.480088,-1.138123,0.127567
8.5,-0.442747,-0.192101,-0.073211,-0.357141,0.429446,0.030038,-0.125499,-0.004313,0.389144,-0.747411,-21.1544,10.1395,-3.4482,24.075,4.9382,-9.2754,12.7841,-8.015,-28.2114,-13.0399,-0.260587,-0.175355,-0.006586,-0.66814,0.297025,0.199008,-0.097651,0.085057,0.645338,-0.36372,-0.249556,-0.511187,-0.940123,2.608602,0.362232,-0.650034,-0.695556,-0.269663,-1.18069,-2.331038
8.52,-0.355109,-0.114613,-0.125638,-0.3079,0.424673,-0.048735,-0.073353,-0.010376,0.319059,-0.633204,-5.9928,19.1133,-8.6746,24.9258,6.6687,-19.3549,25.0017,-6.8118,-29.9067,-6.19,-0.265468,-0.181645,-0.020136,-0.615487,0.279154,0.185542,-0.111379,0.075852,0.614725,-0.411985,-0.301482,-0.216277,-0.548583,2.451143,-0.856543,-0.638567,-0.659281,-0.529677,-1.668957,-2.685573
8.54,-0.31281,-0.071486,-0.1677,-0.259097,0.367727,-0.031709,0.018176,-0.008156,0.228185,-0.630486,-8.0217,13.6267,-7.4489,15.9788,1.0403,-4.4628,31.0059,-5.0496,-25.6645,-8.382,-0.264118,-0.177742,-0.04261,-0.552278,0.290492,0.164438,-0.116252,0.065539,0.560861,-0.41865,0.029041,0.288951,-1.47998,3.235305,2.069848,-1.009596,-0.156143,-0.678539,-2.800665,-0.092354
