time_s,target_dof_right_hip_pitch_04,target_dof_right_hip_roll_03,target_dof_right_hip_yaw_03,target_dof_right_knee_04,target_dof_right_ankle_02,target_dof_left_hip_pitch_04,target_dof_left_hip_roll_03,target_dof_left_hip_yaw_03,target_dof_left_knee_04,target_dof_left_ankle_02,torque_dof_right_hip_pitch_04,torque_dof_right_hip_roll_03,torque_dof_right_hip_yaw_03,torque_dof_right_knee_04,torque_dof_right_ankle_02,torque_dof_left_hip_pitch_04,torque_dof_left_hip_roll_03,torque_dof_left_hip_yaw_03,torque_dof_left_knee_04,torque_dof_left_ankle_02,pos_dof_right_hip_pitch_04,pos_dof_right_hip_roll_03,pos_dof_right_hip_yaw_03,pos_dof_right_knee_04,pos_dof_right_ankle_02,pos_dof_left_hip_pitch_04,pos_dof_left_hip_roll_03,pos_dof_left_hip_yaw_03,pos_dof_left_knee_04,pos_dof_left_ankle_02,vel_dof_right_hip_pitch_04,vel_dof_right_hip_roll_03,vel_dof_right_hip_yaw_03,vel_dof_right_knee_04,vel_dof_right_ankle_02,vel_dof_left_hip_pitch_04,vel_dof_left_hip_roll_03,vel_dof_left_hip_yaw_03,vel_dof_left_knee_04,vel_dof_left_ankle_02
9.08,-0.187823,-0.394285,0.245109,-0.439151,0.254501,-0.024041,0.346847,0.130381,0.683184,-0.477216,14.2574,-60.0,15.5034,45.2186,-5.3329,1.4325,-60.0,-6.4456,34.0629,1.2673,-0.339835,-0.048026,0.137263,-0.830299,0.408406,0.103435,-0.001586,0.189811,0.710275,-0.53444,0.345617,2.360071,-1.38019,1.55461,-0.831554,-0.831405,5.187435,0.147014,-4.405655,1.031996
9.1,-0.275551,-0.152893,0.101024,-0.94926,0.277267,0.016436,0.026042,0.175519,0.981294,-0.368769,-26.1264,-28.2461,2.675,-46.9252,-3.3089,-3.7524,-38.8301,-1.7191,43.3758,4.5711,-0.316012,-0.036389,0.113356,-0.781902,0.382307,0.097192,0.036194,0.202021,0.705282,-0.5083,1.3023,0.187418,-1.143107,2.521548,-0.901663,-0.338197,1.394613,-0.272319,-0.228101,1.020311
9.12,-0.371847,0.087691,0.157769,-0.984073,0.390543,0.170705,-1.086287,0.186312,1.094911,-0.046419,-13.7235,48.6489,6.8185,-8.8577,1.2071,15.8478,-60.0,1.3067,21.28,17.0,-0.310853,-0.050146,0.098511,-0.806354,0.373173,0.097428,0.040633,0.188912,0.759699,-0.489453,0.185036,-0.798937,-0.261109,-2.056862,-0.51747,-0.196439,-0.00684,-0.45825,3.351248,0.492297
9.14,-0.56008,-0.145791,0.087476,-1.082455,0.321158,0.350301,-0.832076,0.303098,1.16093,-0.42545,-28.6139,-7.1912,-13.2588,-10.8502,-5.8439,21.6184,-60.0,19.4283,14.363,-8.4982,-0.317395,-0.058,0.135507,-0.858795,0.393555,0.10977,0.005085,0.162566,0.837561,-0.44474,-0.315056,-0.392887,2.473166,-2.622921,2.977854,0.584954,-3.156497,-1.572133,3.94526,9.363483
9.16,-0.785267,-0.11355,0.248037,-0.657628,0.43541,0.121134,-0.239433,0.186677,0.725362,-0.927954,-27.7133,33.5871,8.2305,66.5467,-0.2619,-31.2236,60.0,-6.5189,-68.4455,-17.0,-0.346585,-0.089385,0.151994,-0.925846,0.431544,0.13438,-0.084854,0.177603,0.932851,-0.451551,-1.540694,-1.456026,0.401816,-3.04068,0.42077,1.182626,-4.866942,2.172073,4.312717,1.144547
9.18,-0.70659,-0.089474,0.241364,-0.238726,0.320881,-0.02701,1.80069,0.131799,0.394695,-0.503048,8.1343,-19.5715,-0.0637,120.0,-6.414,-29.4741,60.0,-11.9822,-48.6879,17.0,-0.378766,-0.083551,0.188445,-0.920915,0.451526,0.140581,-0.131772,0.217876,0.905157,-0.695706,-2.318096,0.696822,1.566431,-2.868305,1.200222,0.175371,-1.095675,0.986975,-3.221789,-11.467353
9.2,-0.504066,-0.18911,0.123622,-0.638819,0.202566,0.029575,1.089461,0.14195,0.448396,-0.592053,-11.7045,-60.0,-2.9615,14.7879,-7.0994,-10.8267,60.0,-7.3223,13.54,-4.576,-0.390719,-0.046599,0.189063,-0.904359,0.434711,0.130345,-0.091593,0.221216,0.767919,-0.610646,-0.214287,2.435118,-1.047835,2.893812,-2.208503,-0.173484,4.192282,-0.176737,-7.102908,5.373446
9.22,-0.266993,-0.310672,0.203142,-0.669105,0.175781,-0.005782,0.230537,0.138203,0.556739,-0.398663,16.2657,-51.7901,15.5072,-5.2689,-6.2337,-18.0745,1.2714,-18.541,-17.5447,5.5337,-0.386758,-0.039732,0.136596,-0.835157,0.369542,0.134144,-0.041097,0.263463,0.740535,-0.542503,0.068719,-0.090869,-2.589225,3.487028,-1.532092,-0.11789,2.010659,1.759292,-1.158402,0.2221
9.24,-0.401858,0.148653,0.145054,-0.82914,0.274466,0.099689,-0.531965,0.148257,0.892836,-0.050656,-24.4399,60.0,-0.6538,-28.2308,4.3035,11.438,-60.0,-10.6414,40.9363,17.0,-0.37331,-0.060767,0.126288,-0.776876,0.290072,0.121895,-0.024967,0.263643,0.705862,-0.518151,0.815379,-1.311861,0.740125,2.356282,-4.977548,-0.597395,0.652467,-0.262432,-1.489516,0.96068
9.26,-0.74675,0.033045,0.10489,-0.760411,0.342706,0.149332,-0.074123,0.1325,0.762056,-0.595328,-53.6087,16.5482,-10.8354,10.9503,2.7224,-0.5285,34.8426,7.1981,-11.143,-10.1931,-0.374292,-0.064436,0.158511,-0.781716,0.290902,0.127176,-0.03606,0.196496,0.727801,-0.484118,-0.091414,0.111724,1.600847,-0.896063,-0.656824,0.155807,-1.608939,-3.977099,1.881352,5.802693
